DATE,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
5/29/15,TSLA,TESLA MOTORS INC,249.42999,252.86771,250.8,3787583,-0.002585,250.64999,250.72,126404,251,30992,-0.002585
6/1/15,TSLA,TESLA MOTORS INC,247.47,251.60001,249.45,2505057,-0.005383,249.28,249.42999,126404,251.41,21278,-0.005383
6/2/15,TSLA,TESLA MOTORS INC,246.3,249.39999,248.35001,2133109,-0.00441,248.25999,248.33,126404,248.92,18231,-0.00441
6/3/15,TSLA,TESLA MOTORS INC,247.00999,250.72,248.99001,1781505,0.002577,248.92,248.99001,126404,248.2,14204,0.002577
6/4/15,TSLA,TESLA MOTORS INC,245.71001,249.3,245.92,2453585,-0.01233,245.91,245.92,126404,247.5,20378,-0.01233
6/5/15,TSLA,TESLA MOTORS INC,245.67999,249.7,249.14,3022026,0.013094,249.08,249.2,126404,246,23847,0.013094
6/8/15,TSLA,TESLA MOTORS INC,250.31,258.75,256.29001,5017097,0.028699,256.37,256.38,126404,250.85001,42236,0.028699
6/9/15,TSLA,TESLA MOTORS INC,254.14,257.73999,256,2611146,-0.001132,256,256.10001,126404,255.39999,22507,-0.001132
6/10/15,TSLA,TESLA MOTORS INC,248.5,254,250.7,3454453,-0.020703,250.53,250.69,126404,251.89999,30024,-0.020703
6/11/15,TSLA,TESLA MOTORS INC,250.42999,254.37,251.41,2044058,0.002832,251.35001,251.41,126404,253.25999,16670,0.002832
6/12/15,TSLA,TESLA MOTORS INC,250.21001,253.46001,250.69,1422335,-0.002864,250.63,250.69,126404,250.21001,12997,-0.002864
6/15/15,TSLA,TESLA MOTORS INC,246.00999,251.28,250.38,2186175,-0.001237,250.33,250.39,126404,249.7,22068,-0.001237
6/16/15,TSLA,TESLA MOTORS INC,249.095,253.44,253.12,1984678,0.010943,253.02,253.13,126404,250.13,17000,0.010943
6/17/15,TSLA,TESLA MOTORS INC,252.02,264.35999,260.41,5512920,0.028801,260.39999,260.56,126404,252.17,46399,0.028801
6/18/15,TSLA,TESLA MOTORS INC,260.01999,263.45999,261.89001,2792703,0.005683,261.79001,261.89001,126404,262,23750,0.005683
6/19/15,TSLA,TESLA MOTORS INC,260.10001,263.79999,262.51001,2463013,0.002367,262.26999,262.35999,126404,262.39999,19237,0.002367
6/22/15,TSLA,TESLA MOTORS INC,255.69,264.39999,259.79001,4561079,-0.010362,259.64999,259.75,126404,262.14999,36171,-0.010362
6/23/15,TSLA,TESLA MOTORS INC,258.57001,268,267.67001,3870828,0.030332,267.60999,267.67001,126404,260.32001,31919,0.030332
6/24/15,TSLA,TESLA MOTORS INC,263.72,267.35001,265.17001,2412293,-0.00934,265.01001,265.10999,126404,266.98001,19729,-0.00934
6/25/15,TSLA,TESLA MOTORS INC,265.25,271.41,268.79001,2849204,0.013652,268.76001,268.87,126404,266.45001,23488,0.013652
6/26/15,TSLA,TESLA MOTORS INC,266,269.10999,267.09,3838434,-0.006325,267.45999,267.47,126404,268.89001,23030,-0.006325
6/29/15,TSLA,TESLA MOTORS INC,260.70001,265.95001,262.01999,3478909,-0.018982,262.01001,262.06,126404,261.95001,30400,-0.018982
6/30/15,TSLA,TESLA MOTORS INC,264,270.92001,268.26001,3086985,0.023815,268.26001,268.45001,127101,264.79999,27349,0.023815
7/1/15,TSLA,TESLA MOTORS INC,267.85031,272.62,269.14999,2101224,0.003318,269.07999,269.14001,127101,271.10999,21021,0.003318
7/2/15,TSLA,TESLA MOTORS INC,273.31,282.45001,280.01999,7163967,0.040386,279.85999,280.01999,127101,280.19501,60559,0.040386
7/6/15,TSLA,TESLA MOTORS INC,276.29999,281.69,279.72,4121933,-0.001071,279.62,279.70999,127101,278.88,34672,-0.001071
7/7/15,TSLA,TESLA MOTORS INC,260.76999,275.20001,267.88,6105126,-0.042328,267.81,267.89999,127101,275,58792,-0.042328
